section,pageTitle,id,depth1,depth2,depth3,path,progressPc,progressMobile,start,updatedAt,end,note,depthOnly
가족센터 평가시스템 기능개발,평가하기 메인페이지1,FE_SE_0000,메인페이지1,,,http://m16.co.kr/familynet/fces/,100,100,2026.04.21,2026.04.28,,,
가족센터 평가시스템 기능개발,평가하기 메인페이지2,FE_SE_0000,메인페이지2,,,http://m16.co.kr/familynet/fces/index2.html,100,100,2026.04.21,2026.04.28,,,
가족센터 평가시스템 기능개발,평가하기 메인페이지3,FE_SE_0000,메인페이지3,,,http://m16.co.kr/familynet/fces/index3.html,100,100,2026.04.21,2026.04.28,,,
가족센터 평가시스템 기능개발,로그인 페이지,FE_LG_0001,로그인,,,http://m16.co.kr/familynet/fces/login.html,100,100,2026.05.07,2026.05.07,,,
가족센터 평가시스템 기능개발,평가하기 페이지,FE_SE_0001,자체평가,평가하기,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0001.html,100,100,2026.04.21,2026.04.29,,,
가족센터 평가시스템 기능개발,평가하기 페이지,FE_SE_0001-1,자체평가,평가하기,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0001-1.html,100,100,2026.04.21,2026.04.29,,예시 화면,
가족센터 평가시스템 기능개발,보완사유 모달창,FE_SE_0002,자체평가,평가하기,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0002.html,100,100,2026.04.21,2026.04.29,,,
가족센터 평가시스템 기능개발,기관 운영 현황 작성 페이지,FE_SE_0003,자체평가,평가하기,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0003.html,100,100,2026.04.21,2026.04.29,,,
가족센터 평가시스템 기능개발,평가하기 페이지,FE_SE_0004,자체평가,평가하기,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0004.html,0,0,2026.04.21,,,센터 현황 입력,
가족센터 평가시스템 기능개발,평가지표 작성 페이지,FE_SE_0005,자체평가,평가하기,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0005.html,100,100,2026.04.21,2026.04.30,,,
가족센터 평가시스템 기능개발,평가지표 영역,FE_SE_0006,자체평가,평가하기,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0006.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,평가하기 페이지,FE_SE_0007,자체평가,평가하기,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0007.html,0,0,2026.04.21,,,증빙자료 업로드,
가족센터 평가시스템 기능개발,평가하기 페이지,FE_SE_0008,자체평가,평가하기,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0008.html,100,100,2026.04.21,2026.04.30,,파일관리 모달창,
가족센터 평가시스템 기능개발,정성평가 예시페이지,FE_SE_0009,자체평가,평가하기,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0009.html,100,100,2026.04.21,2026.05.04,,,
가족센터 평가시스템 기능개발,정성평가 예시페이지,FE_SE_0010,자체평가,평가하기,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0010.html,0,0,2026.04.21,,,예시 (2),
가족센터 평가시스템 기능개발,정량평가 예시페이지(교육이수율),FE_SE_0011,자체평가,평가하기,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0011.html,100,100,2026.04.21,2026.05.04,,,
가족센터 평가시스템 기능개발,정량평가 예시페이지(교육이수율),FE_SE_0012,자체평가,평가하기,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0012.html,0,0,2026.04.21,,,예시 (2),
가족센터 평가시스템 기능개발,정량평가 예시페이지(교육이수율),FE_SE_0013,자체평가,평가하기,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0013.html,0,0,2026.04.21,,,예시 (3),
가족센터 평가시스템 기능개발,정량평가 예시페이지(운영실적),FE_SE_0014,자체평가,평가하기,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0014.html,0,0,2026.04.21,,,,
가족센터 평가시스템 기능개발,정량평가 예시페이지(운영실적),FE_SE_0015,자체평가,평가하기,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0015.html,0,0,2026.04.21,,,예시 (2),
가족센터 평가시스템 기능개발,정량평가 예시페이지(운영실적),FE_SE_0016,자체평가,평가하기,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0016.html,0,0,2026.04.21,,,예시 (3),
가족센터 평가시스템 기능개발,자체평가 결과보고서 의견 페이지,FE_SE_0017,자체평가,평가하기,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0017.html,100,100,2026.04.21,2026.05.04,,결과보고서 의견,
가족센터 평가시스템 기능개발,평가하기 페이지,FE_SE_0018,자체평가,평가하기,,http://m16.co.kr/familynet/fces/assessment/FE_SE_0018.html,100,100,2026.04.21,2026.05.04,,평가완료 상태,
